2024-11-22 19:58:21 - Protocol: TCP, Local Address: 0.0.0.0:135, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 1420, Process Name: svchost, Process Start Time: 2024-11-15 12:08:56
2024-11-22 19:58:21 - Protocol: TCP, Local Address: 0.0.0.0:445, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 4, Process Name: System, Process Start Time: 2024-11-15 12:08:47
2024-11-22 19:58:21 - Protocol: TCP, Local Address: 0.0.0.0:903, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 6416, Process Name: vmware-authd, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:21 - Protocol: TCP, Local Address: 0.0.0.0:913, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 6416, Process Name: vmware-authd, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:21 - Protocol: TCP, Local Address: 0.0.0.0:5040, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 9320, Process Name: svchost, Process Start Time: 2024-11-15 12:09:03
2024-11-22 19:58:21 - Protocol: TCP, Local Address: 0.0.0.0:7680, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 13704, Process Name: svchost, Process Start Time: 2024-11-20 01:05:19
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 0.0.0.0:19999, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 14248, Process Name: Toolkit, Process Start Time: 2024-11-22 13:17:22
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 0.0.0.0:24272, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 4496, Process Name: Spotify, Process Start Time: 2024-11-22 18:56:47
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 0.0.0.0:49664, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 1076, Process Name: lsass, Process Start Time: 2024-11-15 12:08:56
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 0.0.0.0:49665, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 672, Process Name: wininit, Process Start Time: 2024-11-15 12:08:56
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 0.0.0.0:49666, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 2936, Process Name: svchost, Process Start Time: 2024-11-15 12:08:57
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 0.0.0.0:49667, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 2832, Process Name: svchost, Process Start Time: 2024-11-15 12:08:57
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 0.0.0.0:49668, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 3588, Process Name: svchost, Process Start Time: 2024-11-15 12:08:57
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 0.0.0.0:49669, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 4576, Process Name: spoolsv, Process Start Time: 2024-11-15 12:08:57
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 0.0.0.0:49670, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 6240, Process Name: SeagateSecureService, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 0.0.0.0:49698, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 1040, Process Name: services, Process Start Time: 2024-11-15 12:08:56
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 0.0.0.0:57621, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 4496, Process Name: Spotify, Process Start Time: 2024-11-22 18:56:47
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:4767, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 6028, Process Name: PanGPS, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:4767, Remote Address: 127.0.0.1:31319, State: ESTABLISHED, Process ID: 6028, Process Name: PanGPS, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:5835, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 5716, Process Name: LogiSyncMiddleware, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:5835, Remote Address: 127.0.0.1:49684, State: ESTABLISHED, Process ID: 5716, Process Name: LogiSyncMiddleware, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:6110, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 5792, Process Name: LogiSyncProxy, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:6110, Remote Address: 127.0.0.1:49697, State: ESTABLISHED, Process ID: 5792, Process Name: LogiSyncProxy, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:6341, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 23020, Process Name: MEGAsync, Process Start Time: 2024-11-22 13:17:47
